"GOFAR Data Export"
"Vehicle","From","To"
"New Car","01-Jan-2021","28-Mar-2021"
,,,,,,,,,,,,,,,,,,,,
"Start Odometer","End odometer","Total distance recorded","Business distance recorded","Business use percentage",,,,,,,,,,,,,,,
"39185","41309","2124.41","0.00","0.00",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Business trip method","Distance [km]","Rate","Total Claimable",,,,,,,,,,,,,,,,
"ATO","0.00","0.68","0.00",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Type,Trip Index,Start Time,End Time,Fuel (L),Cost,Price per Litre,Start Location,End Location,Average Speed (km/h),Distance (km),Economy (L/100km),CO2 (kg),Acceleration Score,Braking Score,Business,Tags,Odometer Start (km),Odometer End (km),% difference between calculated odometer and actual odometer
"Trip","114","18-Mar-2021 18:22","18-Mar-2021 19:51","4.616","4.62","1.000","Port Kennedy","Port Kennedy","37","54.39","8.49","10.66","79.84","74.42","","","40276","40331","0.00%"
"Trip","115","18-Mar-2021 20:00","18-Mar-2021 20:07","0.348","0.35","1.000","Port Kennedy","Port Kennedy","30","3.55","9.80","0.80","79.65","78.94","","","40331","40334","0.00%"
"Trip","116","18-Mar-2021 20:29","18-Mar-2021 20:33","0.187","0.19","1.000","Port Kennedy","Port Kennedy","30","1.63","11.47","0.43","91.56","82.94","","","40334","40336","0.00%"
"Trip","117","19-Mar-2021 11:16","19-Mar-2021 11:23","0.447","0.45","1.000","Port Kennedy","Port Kennedy","16","1.98","22.55","1.03","73.19","70.78","","","40336","40338","0.00%"
"Trip","118","19-Mar-2021 11:28","19-Mar-2021 11:33","0.313","0.31","1.000","Port Kennedy","Port Kennedy","30","2.70","11.61","0.72","85.15","81.72","","","40338","40341","0.00%"
"Trip","119","19-Mar-2021 11:40","19-Mar-2021 11:51","0.635","0.64","1.000","Port Kennedy","Warnbro","21","3.92","16.20","1.46","73.32","70.63","","","40341","40345","0.00%"
"Trip","120","19-Mar-2021 11:57","19-Mar-2021 12:02","0.312","0.31","1.000","Warnbro","Port Kennedy","25","2.17","14.40","0.72","79.12","72.03","","","40345","40347","0.00%"
"Trip","121","19-Mar-2021 17:11","19-Mar-2021 17:18","0.425","0.43","1.000","Port Kennedy","Port Kennedy","16","1.92","22.18","0.98","65.14","68.51","","","40347","40349","0.00%"
"Trip","122","19-Mar-2021 17:22","19-Mar-2021 17:24","0.091","0.09","1.000","Port Kennedy","Port Kennedy","6","0.22","41.67","0.21","72.70","100.00","","","40349","40349","0.00%"
"Trip","123","19-Mar-2021 17:31","19-Mar-2021 17:49","1.061","1.06","1.000","Port Kennedy","Port Kennedy","40","12.06","8.80","2.45","80.27","75.81","","","40349","40361","0.00%"
"Trip","124","19-Mar-2021 17:53","19-Mar-2021 18:06","0.759","0.76","1.000","Port Kennedy","Port Kennedy","43","9.49","8.00","1.75","87.34","80.41","","","40361","40370","0.00%"
"Trip","125","19-Mar-2021 18:11","19-Mar-2021 18:18","0.325","0.33","1.000","Port Kennedy","Port Kennedy","16","2.06","15.77","0.75","73.63","63.19","","","40370","40373","0.00%"
"Trip","126","19-Mar-2021 18:24","19-Mar-2021 18:36","0.567","0.57","1.000","Port Kennedy","Port Kennedy","24","4.78","11.87","1.31","82.74","73.13","","","40373","40377","0.00%"
